agent_id,lifespan_years,caii_final,senescent_fraction_final,received_sasp_burden,death_cause
0,46.9125,0.6024,0.5518,0.0000,frailty
1,35.7787,0.5273,0.9737,0.5924,frailty
2,33.7081,0.5056,1.0000,0.7714,frailty
3,33.0699,0.4977,1.0000,0.8354,frailty
4,32.7741,0.4938,1.0000,0.8666,frailty
5,32.6015,0.4915,1.0000,0.8853,frailty
6,32.4892,0.4900,1.0000,0.8978,frailty
7,32.4098,0.4889,1.0000,0.9064,frailty
8,32.3523,0.4881,1.0000,0.9130,frailty
9,32.3057,0.4875,1.0000,0.9181,frailty
10,32.2701,0.4870,1.0000,0.9224,frailty
11,32.2427,0.4865,1.0000,0.9255,frailty
12,32.2181,0.4862,1.0000,0.9283,frailty
13,32.1962,0.4859,1.0000,0.9308,frailty
14,32.1797,0.4856,1.0000,0.9327,frailty
15,32.1633,0.4855,1.0000,0.9344,frailty
16,32.1496,0.4853,1.0000,0.9360,frailty
17,32.1386,0.4851,1.0000,0.9372,frailty
18,32.1277,0.4850,1.0000,0.9386,frailty
19,32.1195,0.4848,1.0000,0.9398,frailty
