organism_id,genetic_variant,lifespan_years,caii_at_40,caii_at_60,caii_at_80,biological_age_at_death,death_cause,inflammaging_index_peak
0,average,73.95,0.605,0.315,0.000,73.9,frailty,0.000
1,average,72.95,0.605,0.316,0.000,73.0,frailty,0.000
2,average,72.95,0.605,0.315,0.000,73.0,frailty,0.000
3,average,72.95,0.604,0.312,0.000,73.0,frailty,0.000
4,average,75.95,0.608,0.324,0.000,75.9,frailty,0.000
5,average,73.95,0.605,0.314,0.000,73.9,frailty,0.000
6,average,71.95,0.605,0.315,0.000,72.0,frailty,0.000
7,average,73.95,0.603,0.312,0.000,73.9,frailty,0.000
8,average,74.95,0.604,0.313,0.000,74.9,frailty,0.000
9,average,71.95,0.605,0.317,0.000,72.0,frailty,0.000
10,average,71.95,0.604,0.311,0.000,72.0,frailty,0.000
11,average,72.95,0.605,0.316,0.000,73.0,frailty,0.000
12,average,71.95,0.604,0.312,0.000,72.0,frailty,0.000
13,average,72.95,0.605,0.315,0.000,73.0,frailty,0.000
14,average,74.95,0.604,0.316,0.000,74.9,frailty,0.000
15,average,72.95,0.602,0.309,0.000,73.0,frailty,0.000
16,average,72.95,0.608,0.322,0.000,73.0,frailty,0.000
17,average,73.95,0.608,0.320,0.000,73.9,frailty,0.000
18,apoe4,70.95,0.570,0.228,0.000,71.0,frailty,0.000
19,apoe4,70.95,0.572,0.229,0.000,71.0,frailty,0.000
20,apoe4,67.95,0.569,0.222,0.000,68.0,frailty,0.000
21,apoe4,67.95,0.566,0.216,0.000,68.0,frailty,0.000
22,apoe4,69.95,0.569,0.224,0.000,70.0,frailty,0.000
23,apoe2,75.95,0.631,0.371,0.000,75.9,frailty,0.000
24,apoe2,75.95,0.633,0.372,0.000,75.9,frailty,0.000
25,apoe2,77.95,0.631,0.371,0.000,77.9,frailty,0.000
26,foxo3a,86.94,0.681,0.463,0.206,86.9,frailty,0.000
27,foxo3a,83.94,0.678,0.458,0.197,83.9,frailty,0.000
28,foxo3a,85.94,0.679,0.460,0.204,85.9,frailty,0.000
29,lrrk2,66.95,0.536,0.000,0.000,67.0,frailty,0.000
