step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
73,0.1999,0.201560,0.999996,0.053105,0.008516,1.000000,0.199922,true
146,0.3997,0.202856,0.999985,0.054492,0.009291,1.000000,0.399966,true
219,0.5996,0.204159,0.999970,0.055881,0.010074,1.000000,0.600132,true
292,0.7995,0.205467,0.999952,0.057272,0.010863,1.000000,0.800423,true
365,0.9993,0.206778,0.999931,0.058664,0.011658,1.000000,1.000837,true
438,1.1992,0.208094,0.999908,0.060058,0.012458,1.000000,1.201375,true
511,1.3990,0.209412,0.999883,0.061453,0.013263,1.000000,1.402036,true
584,1.5989,0.210734,0.999855,0.062850,0.014071,1.000000,1.602822,true
657,1.7988,0.212058,0.999826,0.064248,0.014884,1.000000,1.803731,true
730,1.9986,0.213386,0.999795,0.065647,0.015700,1.000000,2.004765,true
803,2.1985,0.214717,0.999761,0.067048,0.016520,1.000000,2.205923,true
876,2.3984,0.216052,0.999727,0.068450,0.017344,1.000000,2.407205,true
949,2.5982,0.217390,0.999690,0.069854,0.018171,1.000000,2.608611,true
1022,2.7981,0.218731,0.999652,0.071259,0.019002,1.000000,2.810143,true
1095,2.9979,0.220075,0.999612,0.072666,0.019836,1.000000,3.011798,true
1168,3.1978,0.221421,0.999571,0.074074,0.020673,1.000000,3.213578,true
1241,3.3977,0.222771,0.999528,0.075483,0.021513,1.000000,3.415483,true
1314,3.5975,0.224123,0.999484,0.076893,0.022356,1.000000,3.617513,true
1387,3.7974,0.225478,0.999438,0.078305,0.023202,1.000000,3.819668,true
1460,3.9973,0.226836,0.999391,0.079718,0.024051,1.000000,4.021949,true
1533,4.1971,0.228196,0.999342,0.081133,0.024903,1.000000,4.224352,true
1606,4.3970,0.229560,0.999292,0.082548,0.025758,1.000000,4.426884,true
1679,4.5969,0.230928,0.999240,0.083966,0.026616,1.000000,4.629539,true
1752,4.7967,0.232298,0.999187,0.085384,0.027477,1.000000,4.832319,true
1825,4.9966,0.233670,0.999133,0.086804,0.028341,1.000000,5.035226,true
1898,5.1964,0.235045,0.999077,0.088226,0.029207,1.000000,5.238257,true
1971,5.3963,0.236423,0.999020,0.089648,0.030075,1.000000,5.441416,true
2044,5.5962,0.237803,0.998962,0.091072,0.030947,1.000000,5.644699,true
2117,5.7960,0.239186,0.998902,0.092497,0.031821,1.000000,5.848108,true
2190,5.9959,0.240572,0.998841,0.093924,0.032697,1.000000,6.051644,true
2263,6.1958,0.241960,0.998779,0.095352,0.033577,1.000000,6.255305,true
2336,6.3956,0.243352,0.998715,0.096781,0.034459,1.000000,6.459093,true
2409,6.5955,0.244747,0.998651,0.098212,0.035344,1.000000,6.663007,true
2482,6.7953,0.246145,0.998584,0.099644,0.036231,1.000000,6.867046,true
2555,6.9952,0.247545,0.998517,0.101077,0.037121,1.000000,7.071214,true
2628,7.1951,0.248948,0.998448,0.102512,0.038013,1.000000,7.275507,true
2701,7.3949,0.250353,0.998378,0.103948,0.038908,1.000000,7.479928,true
2774,7.5948,0.251761,0.998307,0.105385,0.039805,1.000000,7.684474,true
2847,7.7947,0.253171,0.998234,0.106823,0.040705,1.000000,7.889147,true
2920,7.9945,0.254584,0.998160,0.108263,0.041607,1.000000,8.093946,true
2993,8.1944,0.256000,0.998085,0.109705,0.042512,1.000000,8.298870,true
3066,8.3943,0.257420,0.998009,0.111148,0.043419,1.000000,8.503927,true
3139,8.5941,0.258843,0.997931,0.112592,0.044330,1.000000,8.709111,true
3212,8.7940,0.260268,0.997852,0.114037,0.045242,1.000000,8.914422,true
3285,8.9938,0.261695,0.997772,0.115484,0.046157,1.000000,9.119859,true
3358,9.1937,0.263125,0.997690,0.116932,0.047074,1.000000,9.325421,true
3431,9.3936,0.264557,0.997608,0.118382,0.047993,1.000000,9.531112,true
3504,9.5934,0.265992,0.997524,0.119832,0.048914,1.000000,9.736935,true
3577,9.7933,0.267431,0.997438,0.121285,0.049839,1.000000,9.942884,true
3650,9.9932,0.268873,0.997352,0.122738,0.050766,1.000000,10.148961,true
3723,10.1930,0.270317,0.997264,0.124193,0.051696,1.000000,10.355165,true
