tissue,age,carbonylation,hyperacetylation,aggregation,phospho_dysreg,appendage_loss,total
Blood HSC,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Blood HSC,5.0,0.0275,0.0225,0.0325,0.0210,0.0222,0.0260
Blood HSC,10.0,0.0550,0.0450,0.0650,0.0420,0.0444,0.0520
Blood HSC,15.0,0.0825,0.0675,0.0975,0.0630,0.0666,0.0779
Blood HSC,20.0,0.1100,0.0900,0.1300,0.0840,0.0888,0.1039
Blood HSC,25.0,0.1375,0.1125,0.1625,0.1050,0.1110,0.1299
Blood HSC,30.0,0.1650,0.1350,0.1950,0.1260,0.1332,0.1559
Blood HSC,35.0,0.1925,0.1575,0.2275,0.1470,0.1554,0.1819
Blood HSC,40.0,0.2200,0.1800,0.2600,0.1680,0.1776,0.2078
Blood HSC,45.0,0.2475,0.2025,0.2925,0.1890,0.1998,0.2338
Blood HSC,50.0,0.2750,0.2250,0.3250,0.2100,0.2220,0.2598
Blood HSC,55.0,0.3025,0.2475,0.3575,0.2310,0.2442,0.2858
Blood HSC,60.0,0.3300,0.2700,0.3900,0.2520,0.2664,0.3118
Blood HSC,65.0,0.3575,0.2925,0.4225,0.2730,0.2886,0.3377
Blood HSC,70.0,0.3850,0.3150,0.4550,0.2940,0.3108,0.3637
Blood HSC,75.0,0.4125,0.3375,0.4875,0.3150,0.3330,0.3897
Blood HSC,80.0,0.4400,0.3600,0.5200,0.3360,0.3552,0.4157
Blood HSC,85.0,0.4675,0.3825,0.5525,0.3570,0.3774,0.4417
Blood HSC,90.0,0.4950,0.4050,0.5850,0.3780,0.3996,0.4676
Blood HSC,95.0,0.5225,0.4275,0.6175,0.3990,0.4218,0.4936
Blood HSC,100.0,0.5500,0.4500,0.6500,0.4200,0.4440,0.5196
Blood HSC,105.0,0.5775,0.4725,0.6825,0.4410,0.4662,0.5456
Blood HSC,110.0,0.6050,0.4950,0.7150,0.4620,0.4884,0.5716
Blood HSC,115.0,0.6325,0.5175,0.7475,0.4830,0.5106,0.5975
Blood HSC,120.0,0.6600,0.5400,0.7800,0.5040,0.5328,0.6235
Neural NSC,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Neural NSC,5.0,0.0325,0.0275,0.0400,0.0250,0.0278,0.0315
Neural NSC,10.0,0.0650,0.0550,0.0800,0.0500,0.0555,0.0631
Neural NSC,15.0,0.0975,0.0825,0.1200,0.0750,0.0833,0.0946
Neural NSC,20.0,0.1300,0.1100,0.1600,0.1000,0.1110,0.1262
Neural NSC,25.0,0.1625,0.1375,0.2000,0.1250,0.1387,0.1577
Neural NSC,30.0,0.1950,0.1650,0.2400,0.1500,0.1665,0.1892
Neural NSC,35.0,0.2275,0.1925,0.2800,0.1750,0.1942,0.2208
Neural NSC,40.0,0.2600,0.2200,0.3200,0.2000,0.2220,0.2523
Neural NSC,45.0,0.2925,0.2475,0.3600,0.2250,0.2498,0.2838
Neural NSC,50.0,0.3250,0.2750,0.4000,0.2500,0.2775,0.3154
Neural NSC,55.0,0.3575,0.3025,0.4400,0.2750,0.3053,0.3469
Neural NSC,60.0,0.3900,0.3300,0.4800,0.3000,0.3330,0.3785
Neural NSC,65.0,0.4225,0.3575,0.5200,0.3250,0.3607,0.4100
Neural NSC,70.0,0.4550,0.3850,0.5600,0.3500,0.3885,0.4415
Neural NSC,75.0,0.4875,0.4125,0.6000,0.3750,0.4162,0.4731
Neural NSC,80.0,0.5200,0.4400,0.6400,0.4000,0.4440,0.5046
Neural NSC,85.0,0.5525,0.4675,0.6800,0.4250,0.4718,0.5361
Neural NSC,90.0,0.5850,0.4950,0.7200,0.4500,0.4995,0.5677
Neural NSC,95.0,0.6175,0.5225,0.7600,0.4750,0.5273,0.5992
Neural NSC,100.0,0.6500,0.5500,0.8000,0.5000,0.5550,0.6308
Neural NSC,105.0,0.6825,0.5775,0.8400,0.5250,0.5828,0.6623
Neural NSC,110.0,0.7150,0.6050,0.8800,0.5500,0.6105,0.6938
Neural NSC,115.0,0.7475,0.6325,0.9200,0.5750,0.6383,0.7254
Neural NSC,120.0,0.7800,0.6600,0.9600,0.6000,0.6660,0.7569
Germline,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Germline,5.0,0.0210,0.0175,0.0240,0.0160,0.0176,0.0198
Germline,10.0,0.0420,0.0350,0.0480,0.0320,0.0352,0.0396
Germline,15.0,0.0630,0.0525,0.0720,0.0480,0.0527,0.0594
Germline,20.0,0.0840,0.0700,0.0960,0.0640,0.0703,0.0791
Germline,25.0,0.1050,0.0875,0.1200,0.0800,0.0879,0.0989
Germline,30.0,0.1260,0.1050,0.1440,0.0960,0.1055,0.1187
Germline,35.0,0.1470,0.1225,0.1680,0.1120,0.1230,0.1385
Germline,40.0,0.1680,0.1400,0.1920,0.1280,0.1406,0.1583
Germline,45.0,0.1890,0.1575,0.2160,0.1440,0.1582,0.1781
Germline,50.0,0.2100,0.1750,0.2400,0.1600,0.1758,0.1979
Germline,55.0,0.2310,0.1925,0.2640,0.1760,0.1933,0.2176
Germline,60.0,0.2520,0.2100,0.2880,0.1920,0.2109,0.2374
Germline,65.0,0.2730,0.2275,0.3120,0.2080,0.2285,0.2572
Germline,70.0,0.2940,0.2450,0.3360,0.2240,0.2461,0.2770
Germline,75.0,0.3150,0.2625,0.3600,0.2400,0.2636,0.2968
Germline,80.0,0.3360,0.2800,0.3840,0.2560,0.2812,0.3166
Germline,85.0,0.3570,0.2975,0.4080,0.2720,0.2988,0.3364
Germline,90.0,0.3780,0.3150,0.4320,0.2880,0.3164,0.3562
Germline,95.0,0.3990,0.3325,0.4560,0.3040,0.3339,0.3759
Germline,100.0,0.4200,0.3500,0.4800,0.3200,0.3515,0.3957
Germline,105.0,0.4410,0.3675,0.5040,0.3360,0.3691,0.4155
Germline,110.0,0.4620,0.3850,0.5280,0.3520,0.3867,0.4353
Germline,115.0,0.4830,0.4025,0.5520,0.3680,0.4042,0.4551
Germline,120.0,0.5040,0.4200,0.5760,0.3840,0.4218,0.4749
